quote_id,text,article_title,source,manual_score,notes
5jG30rxvPXDegKBamPYD,But this means that Europe needs to get its act together.,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
5rIlclxkv5sIbqfCwcd8,to push the Sunnis away and protect the Alawites,‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
5rVgFCq0K5A2GgNhUkZa,"A lot of it sounds far-fetched, such as converting Hamas tunnels into a metro network. The idea came out of the blue.",Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
6321kYn2kff6nBfAGdUG,But the PR is also good. More young people are coming here interested in becoming sadhus or just to praise us – we cannot complain about that.,‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
68w2pFHHNw6EgPwmBy0f,We need to be strong and face forward if that,Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
6BR7onSsedDOPI79wsxF,"There can never be a nuclear Iran, a nuclear Iran that could then hold itself immune from pressure and from action. That can never happen,",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
6YHxjm2Nwf9AlA7tdzTA,We are providing consular support to Mr Kanu and remain in contact with his family and legal representatives. We have raised his case with the Nigerian authorities.,Brother of British national held in Nigeria says UK has ‘turned its back’,The Guardian,,
7AUYxE73mAeabUncAAun,extremist,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
7IOQ6XSBVMiKSCJM3hRf,extremist,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
7UOMK3QIp9rAypqV3hVP,"The high court and Nigeria have spoken,",Brother of British national held in Nigeria says UK has ‘turned its back’,The Guardian,,
8MhGL1sr12sqg19FhTgO,over-dramatising,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
9D3z7ohrVpvtsuc3v7WR,"What additional capabilities, equipment and maintenance sustainment options is your Government prepared to provide to Ukraine to improve its negotiating hand and increase pressure on Russia?",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
9hTznQd86IFNXhaeqbjs,His courage made a difference and reaches far beyond his death.,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
A6SOkazDX0wcs4CYpx8E,"I saw that someone said that there would be a meeting in Saudi Arabia. I do not know what it is,",Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
ABxz74hEs5PYGLcTTLH2,"Those who genuinely seek peace and prepare for negotiations do not act this way,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
AOxQp67P9qO0ecY0jwJf,"appeasement,",Europeans Fear Trump Is Giving Up Leverage to Putin Even Before Peace Talks Begin,NYT,,
AWGRYfiJ558xg44WPPQK,"We all agree on one thing: Canada, the true north, strong and free, the best country in the world, is worth celebrating and fighting for,",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
AlygzzbvcM4zT1cgVGX7,will never stop as long as they are not sure the peace suggested to them will be long-lasting,Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
AncxYDqPwT2yKj2Lj4Ow,Leaders should set themselves to a higher standard than everyone else.,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
AzNiarpWsXSX8PKU3lvE,"Any plan that leaves Hamas in the Gaza Strip will be a problem, because Israel will not tolerate that,",Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
CAK7r35sKK8dECJmQnNi,Riviera of the Middle East,Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
CH9xZ5YAibVJ8TDsUWn1,"I just want to meet one of them and torture them as they did to me,",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
CYtGw60BxSPEJcMfAiua,social cohesion,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
CuUEcmaFBNyOJY8ue6w8,"Capybaras have more than 500 hectares of lakes and public parks here, with no predators, no hunters to catch them for slaughter,",Contraception for capybaras: Buenos Aires suburb’s rodent plan stirs debate,The Guardian,,
DZ7vB5Yvb7Lqs42FM0CC,"My love of the country, or rather the people of the country, is a love of what we potentially could achieve, and it is richer when I understand the complexity of where we’ve been and where we are. We can grow. But it’s important to remember that you can love something that’s imperfect.",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
Dhh7PpAu1QFN91RUbS7r,"We live in constant fear and instability now,",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
E1ReUlyI8uR27YSLwoi7,We have to engage with it and if possible divert people away from it.,Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
E6cRH55o4hrZfAC6uiXX,"What, if any, US support requirements would your government consider necessary for its participation in these security arrangements? Specifically, which short-term and long-term resources do you think will be required from the US?,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
E9ga6dMLsgYyx949XXK7,social cohesion,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
EENQTFcTkbBPWiCsDVaH,"Now we will talk about peace, not war,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
EIlpfGuea6S17VdnnzLk,"Trump’s comments on annexation have certainly awakened something in people,",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
Ev2z7XKm9sSYmdESrPax,"The interests of the Palestinian people must come before the interests of the movement [Hamas], especially in light of the calls to displace Palestinians from Gaza, and the resulting war that destroyed the Gaza Strip and tore apart its human and social fabric as a result of its decisions.",Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
Fn4Jkl1JiL4u5q2dtMYk,This is a powerful signal that we will now try to solve problems through dialogue.,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
FrnDcEpkkVu79qh2Rx7g,everything is still on the table,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
Fvbu6Y6SXC7qJPoZPOJN,"Similar to the euro or the corona crisis, there is now a financial package for security in Europe. That will come in the near future.",Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
Fwyyqe8BJV8uVAMAYL3p,ultimate responsibility,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
GLByHAcsyn1WDSdwbxBf,"All those remnants of the former regime are hiding in their homes, down to the former traffic police,",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
GYUMmAqcjvs0b8qDz8bj,unorthodox,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
GtsGCKYHySfCB6M4Sm3a,"erase our memory of Alexei’s name, of hiding the truth about his murder and forcing us to give up",Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
H4tEVVARkp5SfIIZrLAL,show it for the world that it is just training,Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
H6AeSVxlwSGt628ZW4rz,"It is not a time to raise the temperature,","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
HQ4GqPvirMo6YQkdwHVR,"I would say it’s the beginning of a new era,",‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
HQhl8KyDyIKfrjaLzxhb,irreversible path,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
HVp9h8BQlEKmzFX7LfbG,the unity of the government and the regime,Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
Hiw8mrNIwoxkzvjGURwF,"I’m not a lumberjack, or a fur trader,",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
HmrmQo1Cb67C9LCcGHwd,"Stop talking about racism, because you","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
Hnpa6mEN35sPwqKTfX8f,enduring relevance in the spiritual life in India,‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
HzUZiWRyG4xHJ3NfA2lL,durable peace,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
IICnVblrABxm4gy65KCV,people don’t want to use the word race [or] racism,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
JG3cO4qJia19eVVn1Ur4,"They can be a real recipe for injustice, and they undermine the ability of courts to ensure that the punishment fits the particular crime,","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
JHbTCrDdlL5ICH67WRA4,ultimate responsibility,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
Jw98oYysYf3oKF4Zewuj,Russia is not ready for negotiations.,Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
JzgX7Porjojj62LYLg59,"We know that in today’s climate, there is a great deal of concern about disharmony.","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
K87LlWznUzJY4wKsNygc,"We have to stand on that, we have to implement that.",Brother of British national held in Nigeria says UK has ‘turned its back’,The Guardian,,
K94lYQ2WzvkpW81RxTEK,"For years, we have been asking for different, linked green areas that function as natural reserves connected by biological corridors, to protect the capybaras and preserve their survival and coexistence in their own natural space,",Contraception for capybaras: Buenos Aires suburb’s rodent plan stirs debate,The Guardian,,
KdUvxaEN6WmQOHfwbxSV,a sphere of coercion in which nations lives in fear,Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
L0YfbmjY7q4eU5sium8T,disadvantaged backgrounds,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
LKiL6p861MipXDZ0YbmY,"I want the entire parliament to work together to make sure that we stamp out antisemitism, that we hold people to account for what are crimes,","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
LUcvd9bKJZvAxInwwaD6,"We will launch a large package that has never been seen in this dimension before,",Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
LlCOxVs2vVZR3U3qcDQN,"It’s a process I hope will begin in the coming weeks,",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
LzR73UWtABBQL77yN5CN,"This requires a strong, united foreign policy and pressure on Putin, who started this war and is now expanding it globally. Together with Europe, the US and all our partners, we can end this war with a just and lasting peace.",Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
M31BwgkED0nbf4fIqqxG,"To my European friends, I would say: ‘Get into the debate, not by complaining that you might, yes or no, be at the table, but by coming up with concrete proposals, ideas, ramp up [defence] spending’,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
M9GjbNmvtXzvO737j3xS,dragging out this war or making the threat to life permanent,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
MK0gwjxwqoncDRQXmk9b,"Everyone can do something: protest, write to political prisoners, change the minds of those close to you, support each other. Alexei inspires people … who understand that our country is not just about war, corruption and oppression.",Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
MLFiqixVWSZcaWeLDtVi,"In addition, they discussed the opportunity to potentially work together on a number of other bilateral issues.",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
MOjJwxbp0Z0974dMXnWq,critical infrastructure,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
MhKjpuvATAQRRPo9BkSL,"I have a prime minister, not a president. I speak English and French, not American. And I pronounce it ‘about’ – not ‘a boot’.",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
NLI8kSzOYnfTBbfW1DzM,"We discussed Trump’s bold vision for Gaza’s future and will work to ensure that vision becomes a reality,",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
O252SvD4cB3jruci3xje,"preparing to train 150,000 people",Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
P3TRCCZ0rT2IAimNapUi,"It’s unacceptable for the Arab world, which has fought this idea for 100 years,",Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
P9jLKJu9r9hQNHum8HJv,We’re struggling to keep up with all the listings. People are really frustrated and they want to find a way to support Canadian and buy Canadian.,Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
PQVqYstLKjeZfKGYTZEy,"If you saw someone who tortured your father, your brother, your loved one, can you really say you would deal with them peacefully?",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
PQcOkaP9UZebpKtCWC5F,"There’s no way in which we can have discussions or negotiations about Ukraine, Ukraine’s future or European security structure, without Europeans,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
Pm8Hg4n4bQoNZNh1FLCc,"The munitions shipment that arrived in Israel tonight, released by the Trump administration, represents a significant asset for the air force and the IDF, and serves as further evidence of the strong alliance between Israel and the United States.",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
QKPMUEh2dFdJLDb1cljE,"Even if it’s slow at first, it will gradually pick up pace and intensify. There won’t be anything for the Gazans in Gaza for the next 10 to 15 years. After we go back to fighting, and all of Gaza looks like Jabaliya, there definitely will be nothing for them there.",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
QhsoLQtAb3Ml38678t5q,for those who committed crimes,‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
SRx5pEtRZh1MsSCPXBiu,"There are going to be times where you’re going to need to just say, ‘We need to be strong and face forward if that’s what the country needs to get through the existential threat we’re facing,’",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
Tp4evCLQeyaFzLzFOob0,armed men,"Sexual Violence Against Children Soars in Congo, U.N. Group Says",NYT,,
UF8xk3fS81eoTwnxVPZ1,a recipe for injustice,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
UZHUwMDMV91yijVbgjr0,that still more of our people are able to return home from captivity,Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
UbhOq3YQB9MsBsrP2CDB,They should wake up to defend British citizens. I find it very astonishing.,Brother of British national held in Nigeria says UK has ‘turned its back’,The Guardian,,
UvpGDvxc7YeIEc9G8FoP,Iran’s aggression in the region has to be rolled back,Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
VV4hOMzuLSoODJIjAWUx,"Maybe they will allow us to protect our neighbourhoods, without guns, but we’re not even allowed to gather in big numbers,",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
Vw3PV5r2cUAS01nTEqsc,"Our goal is to stop the fighting,",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
VyrY3XfMFKO7JJDhsZe0,"Our whole approach is to not be alarmed by anything, but to try and be a calm partner for the US, and to play the role we can, which is to be a bridge,",Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
WHepZZjgZHxII8b44AxP,gave his life for a free and democratic Russia,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
WwhQ6Dixqb9XchnNSnwB,"Modi and Yogi are completely devoted to the Sanatana Dharma. They work for us, so naturally we work for them.",‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
XBBIl8MPaDWYMKs23Be0,Canada is not for sale,Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
XiEIOifHCDBarCVZgbOb,"I think that we can still be proud. We just have to be aware – and then being aware of the wrongs of the past and the continuing wrongs in the present doesn’t mean that we can’t be proud to be Canadian. Pride in being Canadian cannot come at the cost of that awareness,",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
XswscNZTc3w8Qv1e4y2M,held to account,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
XxVmBSUfJ7fa1GwwI18O,may be Russian some day,Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
YpNsOskkVdEpGr0seGxW,"know why we are fighting: for a future Russia free, peaceful and beautiful. The one Alexei dreamed of is possible; do everything to make his dream come true.",Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
Z3ZGrjhQfZaLVYqE7YZi,"The president expressed his desire to see an end to this conflict in a way that was enduring, and that protected Ukrainian sovereignty, and that was an enduring peace, not that we’re going to have another invasion in three or four years,",Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
ZTzsaCBWayBhsEXIDucu,a form of presidency I haven’t previously seen,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
ZU7QFwj7e9p5xp5viuh7,because he fought for democracy and freedom in Russia,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
ZYpl3lsFWPDp5pcQXqqb,failed to Trump-proof Europe,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
ZdkreB9W1iETdXfOHYfa,"This was done deliberately to leave people without heat at sub-zero temperatures and create a humanitarian catastrophe,",Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
aiEUzMyePo69sJnTsKd5,There are none of the limits to population growth that exist elsewhere.,Contraception for capybaras: Buenos Aires suburb’s rodent plan stirs debate,The Guardian,,
arOZG6u1uSncate1qnNo,"That’s why we can’t get distracted by things like JD Vance’s speech. Whatever your view on that, there are much bigger things to focus on.",Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
bNYP2vNEIzh4zk4hqsAC,"It can happen in summer, maybe in the beginning, maybe in the end of summer. I do not know when he prepares it,",Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
bxyF3A7I5FbaSDpiaD6v,We think that courts are best placed to consider all the relevant circumstances before imposing an appropriate penalty.,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
c1W2nJy4BEcQhd6jOzBG,"As Russia intensifies its illegal war of aggression against Ukraine, it also continues its internal repression, targeting those who stand for democracy,",Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
c73tZzAkrFqOAmYJkKU4,hundreds of others … remain unjustly imprisoned,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
cQCwz68hseI6ZLxM8Mry,lifted as quickly as imposed,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
cZTkxtHl6Ys37nyYbdxV,"It’s been absolutely crazy and overwhelming,",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
cpSpwMsUcboDTZkTyaVy,critical infrastructure,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
cxdn8UXua4xOHCEDZkta,"All to say, we are working with both [Russia and Ukraine] with the same weight. We want to end the killing and get headed to lasting peace,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
dDBK9WWL1e8CERHdT2S6,all partners,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
de9cWXJ2HefgTYpdWjEx,"There is a lot of unwanted crowd at the Kumbh who are disturbing our peace, always wanting to take picture for the social media reels,",‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
eBrOAKO97sPhoMJrXtmk,"We need the high visibility of someone strong, who can manage the process.",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
egm5b6OJLniW021jH53O,be Russian some day,Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
ejD9zE2DLfNrPbBIeIGm,But what cannot continue is the same cycle where we repeat over and over again and wind up in the exact same place.,Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
fyEv5Qb6njjTpxP2UXWl,strong step,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
gBZXvILgAzFfsqBm1qDC,"From such point, he began the occupation [of Ukraine] three years ago. Full-scale war he began from some symbolic trainings. The missiles the first night flew from Belarus, and the invasion came from Belarus.",Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
gV5Cx5eqnfboNmJHMncP,Big Brother and his ever-watchful eye,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
gWvp16useFnAkeiU3YgX,might well be different,Brother of British national held in Nigeria says UK has ‘turned its back’,The Guardian,,
gptYwJgkZmEsQoK3jZJL,"When they returned home, they were marginalized. They saw what it was like to be betrayed by a friend.",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
h7owLUEaH6saOIWrdmI8,untouchables,‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
hAjP1mc7WT6hUazcpA14,"General Kellogg (the US envoy to Russia and Ukraine) has presented to me personally and to the circle of European allies, the United States’ negotiating tactics,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
hBgM0JwDTBtKMMc1hp7U,to keep his grip on power,Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
hGN4AgkMeP8NwCjWVb4N,"We cannot deny the extraordinary role that the government has played in this awakening across the country,",‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
hGs8DZfsfNba6ZwBmV3p,"What is he waiting for? For a weakening of Nato by, for instance, policy of the US, that the US will think to take its military from Europe,",Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
hLImJNgblzbxxo3VfXJx,"Only the Ukrainians can decide to stop fighting,",Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
hMwKusY08sh0R8BQNZYX,progressed,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
hSPRmQItXJfGOoEQzme1,unacceptable interference,Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
hXbSyAFHJIBL2NtnsLZ5,wage war against Nato,Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
iCh6zaoxhPFnYIeRXmeD,"I will not reveal them here. They raise some hopes. They are unorthodox, but we wish them luck.",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
iNMwiSopyEX1rbBLhDY7,extremist,Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
iPeEeUNIzpvphooUrSKq,appropriate and rational,Egypt draws up Gaza reconstruction plan that would exclude Hamas,The Guardian,,
ioRFUWKdlw6CXvzCO4Po,security guarantees,John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
je3P46s6zdkrv97wNccf,a disappointment,Zelenskyy says Russia will ‘wage war on Nato’ if US support for Ukraine wanes,The Guardian,,
k0KySqBw3pDyoatRo87t,It’s a time to try to make sure that social cohesion in Australia is valued.,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
kjHv14j41737nekpOhCm,very soon,Macron convenes European leaders for Ukraine summit amid tension with US,The Guardian,,
